codeswitch_sentence,languages
المشاريع هذي اللي عندنا العقارية وال giga projects وال ذا,Saudi-English
they need حديد they need اسمنت they need قزاز,Saudi-English
they need ceramic they need رخام they need اسلاك,Saudi-English
بالنسبة لنا نجي ننظر للسوق المحلي مين موجود يقدر يوفرها مين ماهو موجود نقدر نجيبه من سوق اء من السوق الدولي we buying them,Saudi-English
we do the jv هنا ويصير فيه عندنا local content محتوى محلي فاليوم كم المستهدف بالنسبة لكم وكم الواقع فالمحتوى المحلي,Saudi-English
اضافة للعائد الاستثماري طبعا كل هذا الاستثمارات لازم يكون لها عائد استثماري مجزي و as per our threshold يعني minimum of seven percent,Saudi-English
than نبغى ننظر كيف نقدر نوصلها الى سبعة بالمية,Saudi-English
so بتكون فيه مشاريع ذات عائد استثماري مستهدف مننا,Saudi-English
لازم يكون ال economic multiplier او المعامل الاقتصادي حقها او المضاعف الاقتصادي حقها اكثر من واحد او مئة بالمئة,Saudi-English
so i just give an example معظم الاستثمارات الحكومية السابقة طبعا كانت ups and downs,Saudi-English
جزء من الريال هذا يروح يعني it went as low as thirty three cents فالريال اللي تنفقه الحكومة اللي يبقى فالاقتصاد او ثلاثة وثلاثين هللة وستة وستين هللة,Saudi-English
لازم المعامل الاقتصادي حقه او المضاعف الاقتصادي يكون مثلا اكثر من واحد او واحد فاصلة اربعة sometimes الى اثنين توصل,Saudi-English
and the other thing اللي هو ال اضافة لل economic multiplier وش بيجيب بالنسبة للوظايف,Saudi-English
مليون وثمان مئة الف وظيفة yeah رقم ضخم,Saudi-English
هذي شركاتكم والشركات اللي تتعاملون معاها كل الش كل ال portfolio companies وال eco system اللي انا نسويه,Saudi-English
روشن ماهي لحالها تشتغل تشتغل مع contractors تشتغل مع مطورين مصانع مع مصانع فهذي كلها هذي كلها اربع مية الف,Saudi-English
سابقا كانت والجاي الخمس سنوات الجاية مليون مليون وثمان مئة الف وظيفة مليون وثمان مئة i think its doable يعني,Saudi-English
يعني مابغى اقول مابغى اقول انها its doable يجي الامير يقول its doable يزيد ومافيه مانع ترا تتزاد بس يعني بس خل نبدا بهذي خل نبتدي بهذي بس السؤال ابو فيصل من وين بتجيبونها يعني هذي ميتين مليار سنويا,Saudi-English
فال vrp حقنا,Saudi-English
قلنا نبغى نوصل الى مليار وستة واربعين im sorry ترليون وستة واربعين مليار دولار,Saudi-English
حنا الان تقريبا were short we اقل من سبع مية,Saudi-English
so we still need تقريبا ثثث قريب الاربع مئة مليار,Saudi-English
اء dollar,Saudi-English
لهذا الحجم من الاصول ايه على شان نوصل لهذا الحجم من الاصول طبعا again فيه ال اء ال injections اللي تجينا من من الحكومة,Saudi-English
فا we have a full plan من هنا الى الفين وثلاثين,Saudi-English
كيف نقدر نوصل اول شيء للم للترليون بعدين كيف نوصل الى between two to three سمو الامير مصر على three ايه trillion dollars,Saudi-English
ايش العوائد المالية اللي نطمح لها ايش هو ال risk اللي نقدر نوصل له,Saudi-English
امم first of all قبل لا اجاوب على او ما اجاوب همم على السؤال حقك,Saudi-English
فيه عندنا حنا زي ما قلت لك طال عمرك five step approach لاي استثمار ندخل فيه كيف يبتدي,Saudi-English
من actually its six if you wanna consider zero لانه فيه عندنا مرحلة قبل واحد او صفر دراسة وبعدين واحد اثنين ثلاثة,Saudi-English
اربعة اللي هو التشغيل خمسة تخار تخارج how do you exit اي استثمار,Saudi-English
تدخل فيه وماعندك exit مفروض ماتدخل فيه ماعنده يعني حتى لمن نستثمر في اي دولة,Saudi-English
اول شيء نسال عنه do you have capital controls,Saudi-English
من المفاوضات اللي سويناها we took استثناء استثناء لل capital control,Saudi-English
صحيح so i can not be an investment,Saudi-English
وماقدر اطلع منه حتى ال ever green investment المفروض انك تقدر تطلع منه,Saudi-English
فنجي الحين للسؤال اللي ماحد جاوبه so هذا هذا التخارج الاول,Saudi-English
فيه بعض الشركات مثلا تخارجنا من سابك بشكل كامل we sold it to ارامكو,Saudi-English
and it was one of the greatest things بالنسبة لارامكو صارت بالنسبة لسابك,Saudi-English
synergies اللي موجودة من من من ال ال,Saudi-English
فا whats good for us اليوم could be better for somone else,Saudi-English
فا at the end of the day التخارج حقنا ماهو معناه انه شيء سلبي,Saudi-English
هل سابك كانت بتنمو بالشكل اللي نمت فيه الان لو هي باقية كا share holder pif no,Saudi-English
لما جاء ال share holder تغير صار فيه نمو,Saudi-English
فا it doesnt mean its a negative thing او معناه انه استثمار فاشل او استثمار نبغى نتخلص منه,Saudi-English
its diffrent استثمار ناضج وخلاص انتهى عندنا ناضج ايه,Saudi-English
عندنا ناضج but it will be rejuvenated with someone else and thats what happened,Saudi-English
اء يعني اعادوا الحوي الحيوية فيه من من synergies مختلفة ابو فيصل كنت بسالك على قطاع,Saudi-English
newcastle اء واستثمارنا في النادي يعني عالعكس,Saudi-English
الترفيه which was something يعني كان الترفيه الوحيد اللي موجود فالمملكة مطاعم نروح ناكل yeah نروح ناكل,Saudi-English
